,airport_id,city,state,name
56,14162,Palmdale,CA,Palmdale USAF Plant 42
57,14487,Redding,CA,Redding Municipal
58,14893,Sacramento,CA,Sacramento International
59,14679,San Diego,CA,San Diego International
60,14771,San Francisco,CA,San Francisco International
61,14831,San Jose,CA,Norman Y. Mineta San Jose International
62,14698,San Luis Obispo,CA,San Luis County Regional
63,14908,Santa Ana,CA,John Wayne Airport-Orange County
64,14689,Santa Barbara,CA,Santa Barbara Municipal
65,14905,Santa Maria,CA,Santa Maria Public/Capt. G. Allan Hancock Field
66,14716,Stockton,CA,Stockton Metropolitan
67,15601,Visalia,CA,Visalia Municipal
68,10372,Aspen,CO,Aspen Pitkin County Sardy Field
69,11109,Colorado Springs,CO,City of Colorado Springs Municipal
70,11292,Denver,CO,Denver International
71,11413,Durango,CO,Durango La Plata County
72,11503,Eagle,CO,Eagle County Regional
73,11921,Grand Junction,CO,Grand Junction Regional
74,12012,Gunnison,CO,Gunnison-Crested Butte Regional
75,12094,Hayden,CO,Yampa Valley
76,13502,Montrose/Delta,CO,Montrose Regional
77,14288,Pueblo,CO,Pueblo Memorial
78,15177,Telluride,CO,Telluride Regional
79,10529,Hartford,CT,Bradley International
80,12244,New Haven,CT,Tweed New Haven
81,11278,Washington,DC,Ronald Reagan Washington National
82,12264,Washington,DC,Washington Dulles International
83,12320,Wilmington,DE,New Castle
84,15994,Yap,Federated States of Micronesia,Yap International
85,11252,Daytona Beach,FL,Daytona Beach International
86,11697,Fort Lauderdale,FL,Fort Lauderdale-Hollywood International
87,14635,Fort Myers,FL,Southwest Florida International
88,11953,Gainesville,FL,Gainesville Regional
89,12451,Jacksonville,FL,Jacksonville International
90,11624,Key West,FL,Key West International
91,13501,Marathon,FL,The Florida Keys Marathon
92,13360,Melbourne,FL,Melbourne International
93,13303,Miami,FL,Miami International
94,10329,Naples,FL,Naples Municipal
95,13204,Orlando,FL,Orlando International
96,14078,Panama City,FL,Bay County
97,11481,Panama City,FL,Northwest Florida Beaches International
98,14193,Pensacola,FL,Pensacola Gulf Coast Regional
99,14986,Sarasota/Bradenton,FL,Sarasota/Bradenton International
100,14112,St. Petersburg,FL,St. Petersburg-Clearwater International
101,15249,Tallahassee,FL,Tallahassee Regional
102,15304,Tampa,FL,Tampa International
103,15624,Valparaiso,FL,Northwest Florida Regional
104,14027,West Palm Beach/Palm Beach,FL,Palm Beach International
105,10146,Albany,GA,Southwest Georgia Regional
106,10397,Atlanta,GA,Hartsfield-Jackson Atlanta International
107,10208,Augusta,GA,Augusta Regional at Bush Field
108,10731,Brunswick,GA,Brunswick Golden Isles
109,11150,Columbus,GA,Columbus Metropolitan
110,13203,Macon,GA,Middle Georgia Regional
111,14685,Savannah,GA,Savannah/Hilton Head International
112,15607,Valdosta,GA,Valdosta Regional
113,12402,Hilo,HI,Hilo International
114,12173,Honolulu,HI,Honolulu International
115,13347,Hoolehua,HI,Molokai
116,13830,Kahului,HI,Kahului Airport
117,12758,Kona,HI,Kona International Airport at Keahole
118,13034,Lanai,HI,Lanai Airport
119,12982,Lihue,HI,Lihue Airport
120,11003,Cedar Rapids/Iowa City,IA,The Eastern Iowa
121,11423,Des Moines,IA,Des Moines International
122,11274,Dubuque,IA,Dubuque Regional
123,15048,Sioux City,IA,Sioux Gateway/Col. Bud Day Field
124,10268,Waterloo,IA,Waterloo Regional
125,10713,Boise,ID,Boise Air Terminal
126,12280,Idaho Falls,ID,Idaho Falls Regional
127,13127,Lewiston,ID,Lewiston Nez Perce County
128,14113,Pocatello,ID,Pocatello Regional
129,15041,Sun Valley/Hailey/Ketchum,ID,Friedman Memorial
130,15389,Twin Falls,ID,Joslin Field - Magic Valley Regional
131,10685,Bloomington/Normal,IL,Central Illinois Regional
132,11067,Champaign/Urbana,IL,University of Illinois/Willard
133,13232,Chicago,IL,Chicago Midway International
134,13930,Chicago,IL,Chicago O'Hare International
135,13367,Moline,IL,Quad City International
136,14108,Peoria,IL,General Downing - Peoria International
137,14512,Rockford,IL,Chicago/Rockford International
138,14952,Springfield,IL,Abraham Lincoln Capital
139,11612,Evansville,IN,Evansville Regional
140,11823,Fort Wayne,IN,Fort Wayne International
141,12339,Indianapolis,IN,Indianapolis International
